id	name	category	quantity	unit	unitPrice	totalValue	code	purchaseDate	lot	supplier	notes	createdAt	updatedAt
inv-1767483353901-kx2to8c6y	Ponqué Ramo	comestibles	0	Unidad	18590	0	PAN-001	2026-01-03	PATY-20260103-001	Patty	Actualización de precio	2026-01-18T01:31:43.534Z	2026-02-03T00:30:53.454Z
inv-1767483353905-n6abubp0m	Club Colombia Trigo	bebidas alcoholicas	0	Lata	3648.33	0	CE-005	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo producto	2026-01-18T01:31:43.534Z	2026-02-03T01:33:33.621Z
inv-1767483353905-q1dvhqyit	Poker latas	bebidas alcoholicas	26	Lata	2666.67	69333.42	CE-001	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo producto	2026-01-18T01:31:43.534Z	2026-02-03T01:32:32.753Z
inv-1767483353905-rculqbs47	Four Loko	bebidas alcoholicas	0	Lata	15000	0	CE-006	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo producto	2026-01-18T01:31:43.534Z	2026-02-03T01:32:46.618Z
inv-1767483353905-sje33kukt	Águila lata	bebidas alcoholicas	6	Lata	3500	21000	CE-003	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo producto	2026-01-18T01:31:43.534Z	2026-02-01T17:33:43.595Z
inv-1767483353905-uqwddngmo	Poker latones	bebidas alcoholicas	3	Latón	3333.33	9999.99	CE-002	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo producto	2026-01-18T01:31:43.534Z	2026-02-03T01:31:39.767Z
inv-1767483353905-uteot8kax	Águila latón	bebidas alcoholicas	0	Latón	4000	0	CE-004	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo producto	2026-01-18T01:31:43.534Z	2026-02-03T01:28:54.648Z
inv-1767483353908-agu-est	Aguardiente	bebidas alcoholicas	1	Botella	51900	51900	AGU-EST	2024-12-01	STOKSONIA-20241201-001	Proveedor no especificado	Completa	2026-01-18T01:31:43.534Z	2026-02-03T01:27:54.635Z
inv-1767483353908-agu-nar	Aguardiente Nariño	bebidas alcoholicas	1	Botella	51900	51900	AGU-NAR	2024-12-01	STOKSONIA-20241201-001	Proveedor no especificado	Completas	2026-01-18T01:31:43.534Z	2026-02-03T01:26:41.070Z
inv-1767483353908-c1ooa4r20	Smirnoff Tamarindo	bebidas alcoholicas	1	Botella	54750	54750	VOD-SMI-TAM	2024-12-29	PROVEEDORNOE-20241229-001	Proveedor no especificado	Nuevo sabor	2026-01-18T01:31:43.534Z	2026-02-03T01:31:08.644Z
