Producto,Categoría,Cantidad,Unidad,Precio Unitario,Valor Total,Lote,Proveedor,Fecha Compra
"Arándanos","acompañantes",1,"Unidad",11700,11700,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Baguette","acompañantes",1,"Unidad",7800,7800,"EXITO-20260108-001","Éxito","2026-01-08"
"Baguette Cuisine & Co","acompañantes",2,"Unidad",12900,25800,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Corazón hojaldra","acompañantes",1,"Unidad",14900,14900,"EXITO-20260108-001","Éxito","2026-01-08"
"Festival palillos doble","acompañantes",2,"Paquete",2100,4200,"PATY-20260103-001","Patty","2026-01-03"
"Galleta Liberal Guayaba","acompañantes",4,"Unidad",2300,9200,"EXITO-20260108-001","Éxito","2026-01-08"
"Gaseosa Coca-Cola 2.5L","acompañantes",1,"Botella",15200,15200,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Jamón","acompañantes",2,"Unidad",13000,26000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Jamón de cerdo sánduche","acompañantes",1,"Unidad",7650,7650,"CARNESSEBASTIAN-20260106-001","Carnes del Sebastián","2026-01-06"
"Lechuga batavia (0.458 kg)","acompañantes",1,"Kilogramo",4580,4580,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Limón Tahití","acompañantes",1,"Unidad",1678,1678,"EXITO-20260108-001","Éxito","2026-01-08"
"Mayonesa D&P","acompañantes",1,"Unidad",16700,16700,"EXITO-20260108-001","Éxito","2026-01-08"
"Mezcla de ají","acompañantes",1,"Unidad",3530,3530,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Mostaneza Rancho La Constancia 190 g","acompañantes",1,"Unidad",6900,6900,"PATY-20260103-001","Patty","2026-01-03"
"Pan Resplandor","acompañantes",1,"Unidad",11500,11500,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Pollo frito","acompañantes",1,"Unidad",34000,34000,"LAMERCED-20260105-001","La Merced","2026-01-05"
"Ponqué Ramo","acompañantes",1,"Unidad",18590,18590,"PATY-20260103-001","Patty","2026-01-03"
"Queso","acompañantes",1,"Unidad",14000,14000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Queso Colanta","acompañantes",1,"Unidad",15900,15900,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Queso doble crema Colácteos","acompañantes",1,"Unidad",12400,12400,"CARNESSEBASTIAN-20260106-001","Carnes del Sebastián","2026-01-06"
"Sal Refisal","acompañantes",1,"Unidad",15790,15790,"PATY-20260103-001","Patty","2026-01-03"
"Salsa de tomate","acompañantes",1,"Unidad",8640,8640,"EXITO-20260108-001","Éxito","2026-01-08"
"Salsa de tomate Bary Doy Pack 200 g","acompañantes",1,"Unidad",4100,4100,"PATY-20260103-001","Patty","2026-01-03"
"Salsa mayonesa Bary Doy Pack 200 g","acompañantes",1,"Unidad",4100,4100,"PATY-20260103-001","Patty","2026-01-03"
"Tomate cherry","acompañantes",1,"Unidad",4225,4225,"EXITO-20260108-001","Éxito","2026-01-08"
"Tomate chonto (0.515 kg)","acompañantes",1,"Kilogramo",5180,5180,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Tomates","acompañantes",1,"Unidad",4000,4000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Bombillo Philips 5.5W","activos",1,"Unidad",2950,2950,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cafetera moka","activos",1,"Unidad",30000,30000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Caja de madera","activos",1,"Unidad",14000,14000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cenicero","activos",1,"Unidad",100000,100000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Colador de café","activos",2,"Unidad",2950,5900,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Combo mesa y sillas","activos",1,"Unidad",350000,350000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Copa coctel margarita","activos",5,"Unidad",9000,45000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Copas shot x12","activos",1,"Set",32000,32000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
