id,fecha,hora,items,total,metodo_pago,canal
sale-1768878867305-47pf96fb7,2026-01-20T03:13:00.000Z,22,1x Vodka Smirnoff; 1x Shot Tequila Olmeca,20000,efectivo,presencial
sale-1768843907626-o4fyt4fzg,2026-01-19T01:00:00.000Z,20,3x Cerveza Poker 330cm3,10500,efectivo,presencial
sale-1768845945726-xd9z7cety,2026-01-18T01:00:00.000Z,20,3x Cerveza Budweiser; 7x Cerveza Poker 330cm3; 2x Hervido de fruta de temporada ,56500,efectivo,presencial
sale-1768845945713-li37b9wsv,2026-01-18T01:00:00.000Z,20,3x Cerveza Budweiser; 6x Cerveza Heineken; 3x Cerveza Poker 330cm3; 1x Cigarrillo; 4x Shot Tequila Olmeca,108000,efectivo,presencial
sale-1768850597179-ipwv4m24l,2026-01-16T19:22:00.000Z,14,4x Cerveza Poker 330cm3,14000,nequi,presencial
sale-1768843907628-lxccmynjn,2026-01-16T01:00:00.000Z,20,3x Cerveza Poker 330cm3,10500,efectivo,presencial
sale-1768705024627-4raapk186,2026-01-16,15,"1x Acompañante del día (Empanada, Buñuelo)",20000,,presencial
sale-1768705024627-cs79z583x,2026-01-15,13,3x Cerveza Budweiser,10000,,presencial
sale-1768705024627-tzxr9niuc,2026-01-14,14,"1x Acompañante del día (Empanada, Buñuelo)",77000,nequi,presencial
sale-1768705024626-vs699m2c3,2026-01-07,12,"1x Acompañante del día (Empanada, Buñuelo)",15000,,presencial
sale-1768705024626-95rfna5m6,2026-01-06,18,"1x Acompañante del día (Empanada, Buñuelo)",337000,,presencial
sale-1768705024626-ck918keyd,2026-01-05,16,"1x Acompañante del día (Empanada, Buñuelo)",196000,nequi,presencial
sale-1768705024626-0x84rzh7l,2026-01-04,15,"1x Acompañante del día (Empanada, Buñuelo)",64000,,presencial
sale-1768705024626-iy1p0xq9u,2026-01-03,14,"1x Acompañante del día (Empanada, Buñuelo)",69000,,presencial
sale-1768704949501-7fdz4ni4s,2025-12-31,12,4x Café artesanal caliente + pastel del día,52000,nequi,presencial
sale-1768704949501-fa1ggvb5t,2025-12-31,10,1x Café negro artesanal,5000,efectivo,presencial
sale-1768704949500-8tdebrg03,2025-12-30,20,6x Cóctel moscowmule,45000,nequi,presencial
sale-1768704949500-3k5mk2wq3,2025-12-30,18,1x Cerveza Águila 330cm3,15000,nequi,presencial
sale-1768704949500-7gtzlryoi,2025-12-30,18,1x Cerveza Águila 330cm3,20000,efectivo,presencial
